person,label
4886f805,0.01169032696634531
0297fc1e,0.05408143624663353
2d681dd8,0.015375162474811077
cccea85e,0.1573711335659027
4c8a8b93,0.03137820586562157
29ebb414,0.01169032696634531
3dc1950f,0.027995212003588676
8ea4c165,0.026628894731402397
d8cfe234,0.03460487350821495
d6bc64df,0.017507458105683327
ec9c4059,0.022009050473570824
d21b8e6b,0.02050733007490635
2a724d87,0.01191666629165411
686c49c9,0.2282433807849884
a08d42ea,0.031272292137145996
c98f5cf1,0.0476132296025753
d614c608,0.011984365992248058
e45acd53,0.2858210504055023
7d876393,0.03304421901702881
f5af843f,0.028233936056494713
5a724794,0.07381442189216614
00091926,0.08720086514949799
55d1e0ee,0.027074746787548065
f87be219,0.01169032696634531
49c19e32,0.023374559357762337
bb78c182,0.01191666629165411
e2bfe05f,0.01169032696634531
0e9d0ae2,0.01169032696634531
cb68850c,0.01169032696634531
f30ef764,0.01169032696634531
ca5fa859,0.01330430619418621
4f06f2dd,0.014608289115130901
872d9b83,0.27468717098236084
dca7e4fa,0.014608289115130901
3cb2bfc5,0.01169032696634531
0ec008ff,0.15021422505378723
19876c5b,0.02979223243892193
36606944,0.051711902022361755
3c36c384,0.01169032696634531
25ec69e5,0.01169032696634531
02a9fd4c,0.026554154232144356
e9c847d7,0.014974603429436684
8f7d334b,0.013983553275465965
fd683087,0.12208297103643417
aa5593bc,0.02742982655763626
e39a4b4f,0.02750232070684433
8aeb37ef,0.02627142146229744
c76b8417,0.0694257915019989
b51c3897,0.041273102164268494
49013e40,0.14799484610557556
18ad1f7c,0.033880509436130524
ea679233,0.28271761536598206
39df97e0,0.11423220485448837
4473cb91,0.02371525764465332
a90bb821,0.07379426062107086
66f3c5a8,0.017033377662301064
6972936f,0.026021936908364296
f484e20b,0.19827254116535187
bb5c496a,0.06035053730010986
fa15dd75,0.19608724117279053
8036d563,0.011984365992248058
051b11a7,0.03239566832780838
a708f6b7,0.01619153469800949
8af64425,0.08411352336406708
290a4ade,0.05278351157903671
